undernourish%,undernourish(in m),m/s_finsec%,s_finsec(in m),m/s_finsec(in m),pcap_fprod,pcap_fsup,Mag,CPI,DisType,normalized
32.7,5.4,73.85361538010443,5.9169964310233025,11.058485947145272,7.3,19.0,134488.0,95.51296742,Flood,0.05507345217217027
32.7,5.4,74.06318686475021,6.001720840524089,11.3318157824814,7.3,19.0,136547.16267240603,95.51296742,Flood,0.055917410385155554
3.1,0.5,10.8,0.5,1.9,15.3,28.0,154773.0,87.46993221,Flood,0.06338736179175511
3.1,0.5,10.8,0.5,1.9,15.3,28.0,224189.0,87.46993221,Flood,0.09183785970415843
3.1,0.6,12.2,0.6,2.2,16.9,17.0,136546.9233424485,88.57345288,Flood,0.055917312294564675
2.9,0.5,13.7,0.6,2.5,16.3,20.0,136546.92680607073,90.46017931,Flood,0.055917313714147716
2.9,0.5,13.7,0.6,2.5,16.3,20.0,136546.92680607073,90.46017931,Flood,0.055917313714147716
2.9,0.5,13.7,0.6,2.5,16.3,20.0,157699.0,90.46017931,Flood,0.0645865976580063
2.6,0.5,17.3,0.7,3.3,18.3,17.0,272110.0,94.3490925,Flood,0.11147852339063244
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
12.744843912532117,26.372396565011194,13.221427280810293,5.294967813429056,30.35563701355173,2.8,34.0,136547.0536876883,87.46993221,Flood,0.055917365717219
13.400567632595374,31.24096112057954,8.738006320389186,6.395366090854835,36.996808882308144,2.4,21.0,383224.0,88.57345288,Flood,0.15701915703473154
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.072027668482884,31.17750624495793,11.55511615549338,7.380564658417097,41.33472356085992,2.4,21.0,720844.0,88.57345288,Flood,0.29539441785623677
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.581705429763053,31.275946442443484,7.184816067603112,5.852184993288609,34.60513543309203,2.4,21.0,197080.0,88.57345288,Flood,0.08072709924680939
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.638800458776858,31.28190311589156,6.717942732792434,5.689433102400623,33.86842532849869,2.4,21.0,136547.06051144568,88.57345288,Flood,0.055917368513970396
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.773010186917803,32.553054181836806,5.810617916587681,6.338158952086345,36.87794156718533,3.2,15.0,283444.0,90.46017931,Flood,0.11612382048840787
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.913733623490684,32.57400622638146,4.631839246730372,5.926559091311948,35.0409469702562,3.2,15.0,136547.0632994364,90.46017931,Flood,0.055917369656642464
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.910650345975958,31.891382078230393,5.015440465538568,5.990399788823056,34.57685969566676,3.6,14.0,109610.0,92.6696698,Flood,0.044877078323709255
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.882325125104893,31.879992487770842,5.284810094303371,6.085213952012437,34.97087384156888,3.6,14.0,136547.0648350499,92.6696698,Flood,0.05591737028602141
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
13.906067479406095,31.569078575978875,5.580448804167027,6.223518999885516,35.08032098863464,3.6,13.0,136547.06654015536,94.3490925,Flood,0.05591737098486748
14.01116296803418,31.878347599944405,5.086194188490278,6.349825189776001,35.50682021320183,3.6,11.0,136547.06826470006,95.51296742,Flood,0.05591737169168083
14.01116296803418,31.878347599944405,5.086194188490278,6.349825189776001,35.50682021320183,3.6,11.0,136547.06826470006,95.51296742,Flood,0.05591737169168083
14.01116296803418,31.878347599944405,5.086194188490278,6.349825189776001,35.50682021320183,3.6,11.0,136547.06826470006,95.51296742,Flood,0.05591737169168083
14.01116296803418,31.878347599944405,5.086194188490278,6.349825189776001,35.50682021320183,3.6,11.0,136547.06826470006,95.51296742,Flood,0.05591737169168083
14.01116296803418,31.878347599944405,5.086194188490278,6.349825189776001,35.50682021320183,3.6,11.0,136547.06826470006,95.51296742,Flood,0.05591737169168083
6.5,3.1,33.54312659330489,3.5862140924049895,13.851985654790699,16.5,56.0,136547.00921852412,87.46993221,Flood,0.05591734749130764
6.0,2.9,35.30071769776752,3.677518842810424,14.459014394052577,18.0,72.0,136547.00478281453,88.57345288,Flood,0.05591734567330968
6.0,2.9,35.30071769776752,3.677518842810424,14.459014394052577,18.0,72.0,136547.00478281453,88.57345288,Flood,0.05591734567330968
5.9,2.9,36.08954023484822,3.8892122072131468,15.141968420662351,15.3,77.0,136547.00788330066,90.46017931,Flood,0.055917346944059566
5.9,2.9,36.08954023484822,3.8892122072131468,15.141968420662351,15.3,77.0,136547.00788330066,90.46017931,Flood,0.055917346944059566
5.9,2.9,36.096887009772935,3.9007516243533153,15.150965502619478,15.3,77.0,128597.0,90.46017931,Flood,0.052658996092851844
5.9,2.9,35.98629497354494,3.8669263435610004,15.005985019069012,15.3,77.0,117321.0,90.46017931,Flood,0.04803747058777722
6.2,3.1,32.58723058377591,4.137504976961112,15.232719839446155,5.9,49.0,136547.02230184936,92.6696698,Flood,0.05591735285357451
